Centro;Pedido;Llegada;Días;Estado;Distancia
Este;3/4/2013 8:34;3/8/2013 15:21;4.28264;A tiempo;255
Este;3/4/2013 8:35;3/7/2013 17:05;3.35417;A tiempo;196
Este;3/4/2013 8:38;;;Pedido pend;299
Este;3/4/2013 8:40;3/8/2013 15:52;4.3;A tiempo;205
Este;3/4/2013 8:42;3/10/2013 14:48;6.25417;Tardía;250
Este;3/4/2013 8:43;3/9/2013 15:45;5.29306;A tiempo;93
Este;3/4/2013 8:50;3/8/2013 10:02;4.05;A tiempo;189
Este;3/4/2013 8:55;3/9/2013 16:30;5.31597;A tiempo;335
Este;3/4/2013 8:58;3/9/2013 10:32;5.06528;A tiempo;211
Este;3/4/2013 9:11;3/8/2013 16:02;4.28542;A tiempo;254
Este;3/4/2013 9:13;3/9/2013 15:58;5.28125;A tiempo;264
Este;3/4/2013 9:20;3/9/2013 16:13;5.28681;A tiempo;197
Este;3/4/2013 9:24;3/8/2013 12:32;4.13056;A tiempo;11
Este;3/4/2013 9:29;3/8/2013 17:08;4.31875;A tiempo;353
Este;3/4/2013 9:31;3/7/2013 11:56;3.10069;A tiempo;129
Este;3/4/2013 9:31;3/10/2013 15:49;6.2625;Tardía;153
Este;3/4/2013 9:33;3/8/2013 15:56;4.26597;A tiempo;102
Este;3/4/2013 9:38;3/9/2013 15:04;5.22639;A tiempo;279
Este;3/4/2013 9:46;3/9/2013 10:03;5.01181;A tiempo;340
Este;3/4/2013 9:51;3/10/2013 16:51;6.29167;Tardía;282
Este;3/4/2013 9:54;3/8/2013 17:00;4.29583;A tiempo;459
Este;3/4/2013 9:58;;;Pedido pend;378
Este;3/4/2013 10:00;3/8/2013 9:46;3.99028;A tiempo;257
Este;3/4/2013 10:08;3/8/2013 11:59;4.07708;A tiempo;318
Este;3/4/2013 10:11;3/9/2013 8:20;4.92292;A tiempo;487
Este;3/4/2013 10:18;3/6/2013 17:06;2.28333;A tiempo;310
Este;3/4/2013 10:22;3/7/2013 10:44;3.01528;A tiempo;263
Este;3/4/2013 10:28;3/9/2013 8:16;4.90833;A tiempo;240
Este;3/4/2013 10:30;3/9/2013 17:09;5.27708;A tiempo;145
Este;3/4/2013 10:43;3/10/2013 17:02;6.26319;Tardía;353
Este;3/4/2013 10:51;3/11/2013 8:16;6.89236;Tardía;384
Este;3/4/2013 10:55;3/8/2013 12:15;4.05556;A tiempo;315
Este;3/4/2013 11:00;;;Pedido pend;467
Este;3/4/2013 11:02;3/7/2013 17:06;3.25278;A tiempo;186
Este;3/4/2013 11:10;3/7/2013 8:23;2.88403;A tiempo;140
Este;3/4/2013 11:12;3/8/2013 10:32;3.97222;A tiempo;323
Este;3/4/2013 11:14;3/6/2013 17:36;2.26528;A tiempo;291
Este;3/4/2013 11:21;3/6/2013 17:25;2.25278;A tiempo;349
Este;3/4/2013 11:26;;;Pedido pend;232
Este;3/4/2013 11:28;3/10/2013 17:36;6.25556;Tardía;450
Este;3/4/2013 11:33;3/9/2013 17:35;5.25139;A tiempo;277
Este;3/4/2013 11:38;3/8/2013 10:59;3.97292;A tiempo;311
Este;3/4/2013 11:41;3/11/2013 13:13;7.06389;Tardía;289
Este;3/4/2013 11:53;3/10/2013 9:02;5.88125;A tiempo;301
Este;3/4/2013 11:54;3/9/2013 9:26;4.89722;A tiempo;413
Este;3/4/2013 11:56;3/10/2013 8:23;5.85208;A tiempo;314
Este;3/4/2013 11:59;;;Pedido pend;340
Este;3/4/2013 12:02;3/8/2013 16:41;4.19375;A tiempo;214
Este;3/4/2013 12:12;3/10/2013 8:56;5.86389;A tiempo;399
Este;3/4/2013 12:21;3/11/2013 14:02;7.07014;Tardía;241
Este;3/4/2013 12:25;;;Pedido pend;495
Este;3/4/2013 12:26;3/6/2013 9:07;1.86181;A tiempo;371
Este;3/4/2013 12:27;3/7/2013 18:32;3.25347;A tiempo;203
Este;3/4/2013 12:35;3/9/2013 18:36;5.25069;A tiempo;78
Este;3/4/2013 12:38;3/10/2013 8:08;5.8125;A tiempo;308
Este;3/4/2013 12:43;3/9/2013 10:46;4.91875;A tiempo;403
Este;3/4/2013 12:50;3/8/2013 8:09;3.80486;A tiempo;330
Este;3/4/2013 12:56;3/7/2013 16:23;3.14375;A tiempo;236
Este;3/4/2013 12:58;3/8/2013 12:28;3.97917;A tiempo;410
Este;3/4/2013 13:00;3/7/2013 11:55;2.95486;A tiempo;162
Este;3/4/2013 13:08;3/10/2013 9:02;5.82917;A tiempo;40
Este;3/4/2013 13:09;3/8/2013 8:38;3.81181;A tiempo;264
Este;3/4/2013 13:13;3/7/2013 9:06;2.82847;A tiempo;370
Este;3/4/2013 13:19;3/7/2013 8:06;2.78264;A tiempo;202
Este;3/4/2013 13:19;3/9/2013 8:00;4.77847;A tiempo;437
Este;3/4/2013 13:30;3/9/2013 8:58;4.81111;A tiempo;353
